dataset,method,parameters,change_points,time_ms
bank,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,10.660
bank,CUSUM,"twarmup=298, plimit=0.05299083062286661",68;116;246;292;392;435;531,0.013
bank,PELT,"penalty=20, jump=1, min_size=1",581,23.595
bee_waggle_6,MicroWatch(idx=0),"{""max_dist_size"":93.0,""batch_size"":4.0,""threshold_ratio"":0.628242871,""new_dist_buffer_size"":49.0}",,0.047
bee_waggle_6,MicroWatch(idx=1),"{""max_dist_size"":34.0,""threshold_ratio"":2.141205214,""new_dist_buffer_size"":50.0,""batch_size"":5.0}",,0.026
bee_waggle_6,MicroWatch(idx=2),"{""batch_size"":6.0,""new_dist_buffer_size"":40.0,""threshold_ratio"":3.719955787,""max_dist_size"":99.0}",,0.037
bee_waggle_6,MicroWatch(idx=3),"{""batch_size"":3.0,""new_dist_buffer_size"":26.0,""threshold_ratio"":2.843846528,""max_dist_size"":54.0}",,0.039
bee_waggle_6,MicroWatch(idx=4),"{""batch_size"":5.0,""max_dist_size"":30.0,""threshold_ratio"":0.81995813,""new_dist_buffer_size"":38.0}",40;85;125;165;255;340;380;420;490;530;570,0.070
bee_waggle_6,MicroWatch(idx=5),"{""max_dist_size"":85.0,""threshold_ratio"":0.875019289,""batch_size"":5.0,""new_dist_buffer_size"":24.0}",25;270;425;575,0.144
bee_waggle_6,MicroWatch(idx=6),"{""new_dist_buffer_size"":33.0,""batch_size"":4.0,""threshold_ratio"":1.666112771,""max_dist_size"":17.0}",40;92;188;256;348,0.026
bee_waggle_6,PELT,"penalty=100, jump=1, min_size=1",609,27.655
bitcoin,MicroWatch(idx=0),"{""max_dist_size"":79.0,""new_dist_buffer_size"":13.0,""batch_size"":5.0,""threshold_ratio"":0.925766865}",,0.036
bitcoin,MicroWatch(idx=1),"{""batch_size"":5.0,""threshold_ratio"":3.565927843,""max_dist_size"":17.0,""new_dist_buffer_size"":14.0}",15;85;520;545;570;585;600;625;705;750,0.040
bitcoin,MicroWatch(idx=2),"{""max_dist_size"":52.0,""batch_size"":6.0,""threshold_ratio"":2.835249497,""new_dist_buffer_size"":28.0}",90;516;582,0.033
bitcoin,MicroWatch(idx=3),"{""threshold_ratio"":2.163913651,""max_dist_size"":46.0,""new_dist_buffer_size"":10.0,""batch_size"":3.0}",12;90;519;546,0.049
bitcoin,MicroWatch(idx=4),"{""batch_size"":4.0,""new_dist_buffer_size"":21.0,""threshold_ratio"":2.373581048,""max_dist_size"":40.0}",88;520;544;580;704;748,0.055
bitcoin,MicroWatch(idx=5),"{""batch_size"":5.0,""threshold_ratio"":2.212551814,""new_dist_buffer_size"":30.0,""max_dist_size"":24.0}",85;510;545;580,0.049
bitcoin,MicroWatch(idx=6),"{""max_dist_size"":33.0,""batch_size"":4.0,""threshold_ratio"":1.209374623,""new_dist_buffer_size"":43.0}",84;492;544;588;708;756,0.031
bitcoin,BOCPD,"alpha=0.001, beta=0.001, kappa=2, mu=5",,19.320
bitcoin,CUSUM,"twarmup=290, plimit=0.6657471216052517",71;115;196;233;334;394;465;510;549;584;627;681;723;760,0.012
bitcoin,PELT,"penalty=6, jump=8, min_size=1",452;519;546;568;587;600;619;649;703;747;760;774,51.416
brent_spot,MicroWatch(idx=0),"{""batch_size"":3.0,""new_dist_buffer_size"":31.0,""threshold_ratio"":1.040997484,""max_dist_size"":92.0}",,0.042
brent_spot,MicroWatch(idx=1),"{""threshold_ratio"":3.90884706,""batch_size"":5.0,""new_dist_buffer_size"":7.0,""max_dist_size"":96.0}",45;215;225;240;250;280;375,0.079
brent_spot,MicroWatch(idx=2),"{""threshold_ratio"":3.92701899,""batch_size"":3.0,""max_dist_size"":19.0,""new_dist_buffer_size"":10.0}",132;201,0.021
brent_spot,MicroWatch(idx=3),"{""new_dist_buffer_size"":11.0,""max_dist_size"":26.0,""batch_size"":4.0,""threshold_ratio"":3.63913105}",132;200,0.021
brent_spot,MicroWatch(idx=4),"{""threshold_ratio"":0.897043169,""max_dist_size"":59.0,""batch_size"":4.0,""new_dist_buffer_size"":49.0}",112;168;228;284;372,0.044
brent_spot,MicroWatch(idx=5),"{""max_dist_size"":22.0,""new_dist_buffer_size"":31.0,""batch_size"":5.0,""threshold_ratio"":0.179403432}",75;110;145;185;220;255;290;330;365,0.029
brent_spot,MicroWatch(idx=6),"{""max_dist_size"":47.0,""new_dist_buffer_size"":36.0,""batch_size"":4.0,""threshold_ratio"":1.070024322}",44;108;144;192;228;280;372,0.031
brent_spot,BOCPD,"alpha=0.001, beta=10, kappa=0.1, mu=10",220;221;222,8.085
brent_spot,CUSUM,"twarmup=45, plimit=0.5286127329037958",48;96;136;194;230;277;381;466,0.009
brent_spot,PELT,"penalty=8, jump=7, min_size=1",132;200;225;240;280;378;453;500,22.767
businv,MicroWatch(idx=0),"{""batch_size"":4.0,""new_dist_buffer_size"":6.0,""threshold_ratio"":0.754350032,""max_dist_size"":92.0}",,0.030
businv,MicroWatch(idx=1),"{""max_dist_size"":50.0,""batch_size"":4.0,""new_dist_buffer_size"":15.0,""threshold_ratio"":2.464046487}",96;120;192;208;224,0.038
businv,MicroWatch(idx=2),"{""threshold_ratio"":3.799072007,""max_dist_size"":98.0,""new_dist_buffer_size"":30.0,""batch_size"":4.0}",248,0.034
businv,MicroWatch(idx=3),"{""batch_size"":3.0,""max_dist_size"":89.0,""threshold_ratio"":3.866389247,""new_dist_buffer_size"":33.0}",249,0.046
businv,MicroWatch(idx=4),"{""threshold_ratio"":3.879569139,""max_dist_size"":66.0,""batch_size"":4.0,""new_dist_buffer_size"":18.0}",100;188;208,0.056
businv,MicroWatch(idx=5),"{""new_dist_buffer_size"":34.0,""threshold_ratio"":3.073015156,""max_dist_size"":100.0,""batch_size"":3.0}",189,0.078
businv,MicroWatch(idx=6),"{""new_dist_buffer_size"":21.0,""threshold_ratio"":1.16976017,""max_dist_size"":45.0,""batch_size"":3.0}",21;45;69;93;120;141;165;189;210;231;261;285;306,0.026
businv,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,3.970
businv,CUSUM,"twarmup=208, plimit=0.7374587220159847",35;73;110;152;190;242;281;318,0.004
businv,PELT,"penalty=100, jump=1, min_size=1",330,7.710
centralia,MicroWatch(idx=0),"{""max_dist_size"":23.0,""threshold_ratio"":3.702761017,""new_dist_buffer_size"":12.0,""batch_size"":3.0}",,0.005
centralia,MicroWatch(idx=1),"{""batch_size"":6.0,""threshold_ratio"":2.504126059,""max_dist_size"":36.0,""new_dist_buffer_size"":12.0}",12,0.004
centralia,MicroWatch(idx=2),"{""max_dist_size"":75.0,""batch_size"":4.0,""threshold_ratio"":0.669825711,""new_dist_buffer_size"":11.0}",12,0.002
centralia,MicroWatch(idx=3),"{""max_dist_size"":42.0,""batch_size"":6.0,""threshold_ratio"":0.460242184,""new_dist_buffer_size"":7.0}",12,0.002
centralia,MicroWatch(idx=4),"{""batch_size"":6.0,""threshold_ratio"":0.447929601,""new_dist_buffer_size"":10.0,""max_dist_size"":15.0}",12,0.002
centralia,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":82.0,""new_dist_buffer_size"":3.0,""threshold_ratio"":1.744701207}",3,0.005
centralia,MicroWatch(idx=6),"{""max_dist_size"":57.0,""new_dist_buffer_size"":48.0,""threshold_ratio"":2.747649263,""batch_size"":4.0}",,0.001
centralia,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.012
centralia,CUSUM,"twarmup=11, plimit=0.5221963846740868",,0.001
centralia,PELT,"penalty=1, jump=6, min_size=1",9;15,0.016
children_per_woman,MicroWatch(idx=0),"{""new_dist_buffer_size"":32.0,""threshold_ratio"":0.974587839,""batch_size"":3.0,""max_dist_size"":41.0}",,0.015
children_per_woman,MicroWatch(idx=1),"{""new_dist_buffer_size"":10.0,""threshold_ratio"":3.123224082,""max_dist_size"":97.0,""batch_size"":4.0}",116;132;144;176,0.053
children_per_woman,MicroWatch(idx=2),"{""batch_size"":6.0,""max_dist_size"":96.0,""threshold_ratio"":3.981074313,""new_dist_buffer_size"":17.0}",114,0.029
children_per_woman,MicroWatch(idx=3),"{""threshold_ratio"":2.227882663,""new_dist_buffer_size"":6.0,""max_dist_size"":92.0,""batch_size"":5.0}",110;175;190,0.045
children_per_woman,MicroWatch(idx=4),"{""batch_size"":3.0,""max_dist_size"":100.0,""new_dist_buffer_size"":26.0,""threshold_ratio"":3.778902626}",111;174,0.112
children_per_woman,MicroWatch(idx=5),"{""threshold_ratio"":1.298459232,""max_dist_size"":91.0,""batch_size"":5.0,""new_dist_buffer_size"":25.0}",,0.027
children_per_woman,MicroWatch(idx=6),"{""batch_size"":5.0,""new_dist_buffer_size"":31.0,""max_dist_size"":93.0,""threshold_ratio"":2.396303304}",110;175,0.035
children_per_woman,BOCPD,"alpha=0.1, beta=0.001, kappa=5, mu=5",110;147;167;168,2.933
children_per_woman,CUSUM,"twarmup=150, plimit=0.2550581439882834",35;72;108;146;181;223;262;300,0.003
children_per_woman,PELT,"penalty=30, jump=8, min_size=1",178;301,5.822
co2_canada,MicroWatch(idx=0),"{""max_dist_size"":95.0,""threshold_ratio"":0.113099147,""batch_size"":6.0,""new_dist_buffer_size"":50.0}",54,0.019
co2_canada,MicroWatch(idx=1),"{""max_dist_size"":50.0,""batch_size"":6.0,""threshold_ratio"":2.538112513,""new_dist_buffer_size"":24.0}",48;84;108;144;168,0.028
co2_canada,MicroWatch(idx=2),"{""max_dist_size"":17.0,""threshold_ratio"":0.798278153,""batch_size"":3.0,""new_dist_buffer_size"":21.0}",21;42;63;84;105;141;162,0.015
co2_canada,MicroWatch(idx=3),"{""batch_size"":5.0,""threshold_ratio"":1.657277825,""max_dist_size"":34.0,""new_dist_buffer_size"":23.0}",25;50;80;105;165,0.015
co2_canada,MicroWatch(idx=4),"{""threshold_ratio"":2.481809356,""max_dist_size"":34.0,""batch_size"":3.0,""new_dist_buffer_size"":18.0}",45;63;81;102;168,0.033
co2_canada,MicroWatch(idx=5),"{""new_dist_buffer_size"":13.0,""threshold_ratio"":3.86340126,""max_dist_size"":22.0,""batch_size"":6.0}",42;60;78;102;168,0.048
co2_canada,MicroWatch(idx=6),"{""max_dist_size"":55.0,""batch_size"":3.0,""threshold_ratio"":1.228752196,""new_dist_buffer_size"":31.0}",45;78;111;168,0.026
co2_canada,BOCPD,"alpha=0.001, beta=0.1, kappa=0.1, mu=10",75;137;159;160,1.487
co2_canada,CUSUM,"twarmup=11, plimit=0.4156816681234061",36;72;107;148;192,0.003
co2_canada,PELT,"penalty=1, jump=5, min_size=1",83;105;141;168;215,3.549
construction,MicroWatch(idx=0),"{""batch_size"":3.0,""new_dist_buffer_size"":50.0,""threshold_ratio"":1.015073093,""max_dist_size"":95.0}",,0.035
construction,MicroWatch(idx=1),"{""threshold_ratio"":1.533464784,""new_dist_buffer_size"":22.0,""batch_size"":3.0,""max_dist_size"":94.0}",138;192;216,0.079
construction,MicroWatch(idx=2),"{""max_dist_size"":68.0,""new_dist_buffer_size"":9.0,""batch_size"":3.0,""threshold_ratio"":2.455072035}",138,0.038
construction,MicroWatch(idx=3),"{""max_dist_size"":96.0,""new_dist_buffer_size"":24.0,""batch_size"":4.0,""threshold_ratio"":1.496698675}",136;192;216,0.050
construction,MicroWatch(idx=4),"{""threshold_ratio"":2.287514894,""new_dist_buffer_size"":9.0,""batch_size"":3.0,""max_dist_size"":82.0}",138;192;201;216,0.102
construction,MicroWatch(idx=5),"{""batch_size"":3.0,""threshold_ratio"":3.98118336,""new_dist_buffer_size"":33.0,""max_dist_size"":58.0}",138,0.038
construction,MicroWatch(idx=6),"{""max_dist_size"":59.0,""threshold_ratio"":1.142752364,""batch_size"":6.0,""new_dist_buffer_size"":7.0}",18;42;54;66;78;126;138;150;168;180;192;204;216;234;246;258;270;282,0.030
construction,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",186,3.351
construction,CUSUM,"twarmup=192, plimit=0.11300151685656862",44;87;139;194;248;286,0.005
construction,PELT,"penalty=100, jump=1, min_size=1",319,7.360
debt_ireland,MicroWatch(idx=0),"{""max_dist_size"":43.0,""threshold_ratio"":2.308089181,""batch_size"":4.0,""new_dist_buffer_size"":8.0}",,0.005
debt_ireland,MicroWatch(idx=1),"{""batch_size"":4.0,""new_dist_buffer_size"":6.0,""max_dist_size"":73.0,""threshold_ratio"":1.003072838}",8;16,0.003
debt_ireland,MicroWatch(idx=2),"{""new_dist_buffer_size"":7.0,""threshold_ratio"":0.343588055,""batch_size"":4.0,""max_dist_size"":66.0}",8;16,0.002
debt_ireland,MicroWatch(idx=3),"{""new_dist_buffer_size"":6.0,""threshold_ratio"":0.349538173,""max_dist_size"":98.0,""batch_size"":4.0}",8;16,0.002
debt_ireland,MicroWatch(idx=4),"{""new_dist_buffer_size"":7.0,""max_dist_size"":43.0,""threshold_ratio"":0.379662771,""batch_size"":4.0}",8;16,0.002
debt_ireland,MicroWatch(idx=5),"{""batch_size"":4.0,""new_dist_buffer_size"":5.0,""max_dist_size"":24.0,""threshold_ratio"":0.606375202}",8,0.003
debt_ireland,MicroWatch(idx=6),"{""max_dist_size"":78.0,""threshold_ratio"":0.200590793,""batch_size"":4.0,""new_dist_buffer_size"":6.0}",8;16,0.030
debt_ireland,BOCPD,"alpha=0.2, beta=1, kappa=0.5, mu=100",5;10,0.019
debt_ireland,CUSUM,"twarmup=10, plimit=0.09163313697045995",,0.001
debt_ireland,PELT,"penalty=0.0000000001, jump=2, min_size=6",6;12;18;21,0.018
gdp_argentina,MicroWatch(idx=0),"{""threshold_ratio"":1.383563304,""max_dist_size"":29.0,""new_dist_buffer_size"":49.0,""batch_size"":6.0}",,0.006
gdp_argentina,MicroWatch(idx=1),"{""max_dist_size"":47.0,""threshold_ratio"":2.528171061,""batch_size"":6.0,""new_dist_buffer_size"":39.0}",54,0.006
gdp_argentina,MicroWatch(idx=2),"{""max_dist_size"":11.0,""threshold_ratio"":0.421631137,""batch_size"":6.0,""new_dist_buffer_size"":50.0}",54,0.004
gdp_argentina,MicroWatch(idx=3),"{""new_dist_buffer_size"":24.0,""batch_size"":4.0,""max_dist_size"":36.0,""threshold_ratio"":3.212672125}",,0.004
gdp_argentina,MicroWatch(idx=4),"{""batch_size"":6.0,""new_dist_buffer_size"":50.0,""max_dist_size"":66.0,""threshold_ratio"":0.101362542}",54,0.005
gdp_argentina,MicroWatch(idx=5),"{""batch_size"":4.0,""threshold_ratio"":2.635986227,""max_dist_size"":29.0,""new_dist_buffer_size"":37.0}",52,0.004
gdp_argentina,MicroWatch(idx=6),"{""batch_size"":6.0,""threshold_ratio"":0.437254121,""max_dist_size"":53.0,""new_dist_buffer_size"":49.0}",54,0.004
gdp_argentina,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.117
gdp_argentina,CUSUM,"twarmup=26, plimit=0.42256978071605383",37,0.001
gdp_argentina,PELT,"penalty=6, jump=7, min_size=1",33;47;59,0.214
gdp_croatia,MicroWatch(idx=0),"{""max_dist_size"":16.0,""batch_size"":3.0,""new_dist_buffer_size"":15.0,""threshold_ratio"":1.567934133}",,0.004
gdp_croatia,MicroWatch(idx=1),"{""batch_size"":5.0,""threshold_ratio"":0.453796633,""new_dist_buffer_size"":12.0,""max_dist_size"":34.0}",15,0.005
gdp_croatia,MicroWatch(idx=2),"{""max_dist_size"":14.0,""threshold_ratio"":0.106121015,""new_dist_buffer_size"":12.0,""batch_size"":5.0}",15,0.005
gdp_croatia,MicroWatch(idx=3),"{""new_dist_buffer_size"":14.0,""threshold_ratio"":0.514370928,""batch_size"":3.0,""max_dist_size"":60.0}",15,0.003
gdp_croatia,MicroWatch(idx=4),"{""max_dist_size"":90.0,""threshold_ratio"":0.14635912,""new_dist_buffer_size"":15.0,""batch_size"":5.0}",15,0.003
gdp_croatia,MicroWatch(idx=5),"{""batch_size"":5.0,""threshold_ratio"":0.228700741,""max_dist_size"":77.0,""new_dist_buffer_size"":12.0}",15,0.002
gdp_croatia,MicroWatch(idx=6),"{""threshold_ratio"":0.12625164,""new_dist_buffer_size"":15.0,""max_dist_size"":89.0,""batch_size"":3.0}",15,0.002
gdp_croatia,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.022
gdp_croatia,CUSUM,"twarmup=12, plimit=0.7806290248284016",,0.001
gdp_croatia,PELT,"penalty=0.0000000001, jump=7, min_size=8",8;16;24,0.020
gdp_iran,MicroWatch(idx=0),"{""threshold_ratio"":3.841691761,""batch_size"":3.0,""max_dist_size"":79.0,""new_dist_buffer_size"":16.0}",,0.014
gdp_iran,MicroWatch(idx=1),"{""max_dist_size"":72.0,""batch_size"":4.0,""new_dist_buffer_size"":12.0,""threshold_ratio"":2.506969039}",12,0.009
gdp_iran,MicroWatch(idx=2),"{""max_dist_size"":65.0,""threshold_ratio"":0.711837867,""new_dist_buffer_size"":11.0,""batch_size"":3.0}",12;24;36;48,0.005
gdp_iran,MicroWatch(idx=3),"{""new_dist_buffer_size"":10.0,""max_dist_size"":88.0,""batch_size"":6.0,""threshold_ratio"":2.652584452}",12,0.007
gdp_iran,MicroWatch(idx=4),"{""batch_size"":4.0,""threshold_ratio"":3.990815549,""new_dist_buffer_size"":10.0,""max_dist_size"":70.0}",12,0.012
gdp_iran,MicroWatch(idx=5),"{""max_dist_size"":56.0,""batch_size"":6.0,""new_dist_buffer_size"":8.0,""threshold_ratio"":3.799172549}",12,0.008
gdp_iran,MicroWatch(idx=6),"{""new_dist_buffer_size"":12.0,""batch_size"":6.0,""threshold_ratio"":1.038922356,""max_dist_size"":33.0}",12;24;36;48,0.004
gdp_iran,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.118
gdp_iran,CUSUM,"twarmup=11, plimit=0.5941666227501861",44,0.001
gdp_iran,PELT,"penalty=1, jump=4, min_size=5",10;20;30;40;45;58,0.091
gdp_japan,MicroWatch(idx=0),"{""new_dist_buffer_size"":31.0,""threshold_ratio"":3.698176381,""batch_size"":4.0,""max_dist_size"":16.0}",,0.005
gdp_japan,MicroWatch(idx=1),"{""max_dist_size"":39.0,""new_dist_buffer_size"":31.0,""threshold_ratio"":0.639995569,""batch_size"":4.0}",32,0.004
gdp_japan,MicroWatch(idx=2),"{""threshold_ratio"":0.435226802,""new_dist_buffer_size"":27.0,""batch_size"":4.0,""max_dist_size"":10.0}",28,0.004
gdp_japan,MicroWatch(idx=3),"{""max_dist_size"":62.0,""batch_size"":4.0,""threshold_ratio"":0.327203503,""new_dist_buffer_size"":31.0}",32,0.003
gdp_japan,MicroWatch(idx=4),"{""max_dist_size"":71.0,""batch_size"":4.0,""threshold_ratio"":0.774503652,""new_dist_buffer_size"":31.0}",32,0.004
gdp_japan,MicroWatch(idx=5),"{""new_dist_buffer_size"":28.0,""batch_size"":4.0,""max_dist_size"":23.0,""threshold_ratio"":1.60131655}",28,0.004
gdp_japan,MicroWatch(idx=6),"{""batch_size"":4.0,""new_dist_buffer_size"":32.0,""max_dist_size"":35.0,""threshold_ratio"":0.258077262}",32,0.003
gdp_japan,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.117
gdp_japan,CUSUM,"twarmup=31, plimit=0.3619946239177961",36,0.001
gdp_japan,PELT,"penalty=20, jump=1, min_size=1",58,0.241
global_co2,MicroWatch(idx=0),"{""batch_size"":5.0,""threshold_ratio"":2.684057905,""max_dist_size"":77.0,""new_dist_buffer_size"":43.0}",,0.012
global_co2,MicroWatch(idx=1),"{""batch_size"":5.0,""new_dist_buffer_size"":48.0,""max_dist_size"":78.0,""threshold_ratio"":2.926155975}",95,0.012
global_co2,MicroWatch(idx=2),"{""batch_size"":5.0,""new_dist_buffer_size"":48.0,""threshold_ratio"":3.430039325,""max_dist_size"":88.0}",,0.011
global_co2,MicroWatch(idx=3),"{""threshold_ratio"":3.999326564,""new_dist_buffer_size"":39.0,""max_dist_size"":73.0,""batch_size"":5.0}",95,0.011
global_co2,MicroWatch(idx=4),"{""max_dist_size"":93.0,""new_dist_buffer_size"":47.0,""threshold_ratio"":2.822924395,""batch_size"":5.0}",95,0.020
global_co2,MicroWatch(idx=5),"{""threshold_ratio"":3.563115209,""batch_size"":5.0,""max_dist_size"":78.0,""new_dist_buffer_size"":21.0}",95,0.016
global_co2,MicroWatch(idx=6),"{""batch_size"":5.0,""max_dist_size"":26.0,""threshold_ratio"":3.323671819,""new_dist_buffer_size"":48.0}",65,0.008
global_co2,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,0.365
global_co2,CUSUM,"twarmup=47, plimit=0.09000398187665967",46;81,0.002
global_co2,PELT,"penalty=30, jump=1, min_size=1",104,0.731
homeruns,MicroWatch(idx=0),"{""max_dist_size"":91.0,""new_dist_buffer_size"":15.0,""batch_size"":3.0,""threshold_ratio"":1.086319539}",,0.030
homeruns,MicroWatch(idx=1),"{""max_dist_size"":55.0,""batch_size"":3.0,""threshold_ratio"":2.033442239,""new_dist_buffer_size"":18.0}",18;60,0.021
homeruns,MicroWatch(idx=2),"{""threshold_ratio"":3.058227426,""max_dist_size"":25.0,""new_dist_buffer_size"":15.0,""batch_size"":6.0}",18;60,0.008
homeruns,MicroWatch(idx=3),"{""batch_size"":6.0,""threshold_ratio"":3.117818813,""new_dist_buffer_size"":5.0,""max_dist_size"":34.0}",18;78,0.010
homeruns,MicroWatch(idx=4),"{""threshold_ratio"":3.895291224,""batch_size"":3.0,""max_dist_size"":34.0,""new_dist_buffer_size"":4.0}",18;60;66,0.024
homeruns,MicroWatch(idx=5),"{""new_dist_buffer_size"":17.0,""batch_size"":3.0,""max_dist_size"":29.0,""threshold_ratio"":3.129749874}",18;60,0.012
homeruns,MicroWatch(idx=6),"{""threshold_ratio"":1.395013398,""new_dist_buffer_size"":16.0,""max_dist_size"":13.0,""batch_size"":6.0}",18;36;54;78;96;114,0.008
homeruns,BOCPD,"alpha=0.1, beta=0.5, kappa=0.1, mu=200",13;14;55,0.451
homeruns,CUSUM,"twarmup=65, plimit=0.7397611932092609",36;77,0.001
homeruns,PELT,"penalty=20, jump=1, min_size=1",60;118,1.047
iceland_tourism,MicroWatch(idx=0),"{""threshold_ratio"":0.209210564,""batch_size"":5.0,""max_dist_size"":52.0,""new_dist_buffer_size"":23.0}",,0.015
iceland_tourism,MicroWatch(idx=1),"{""new_dist_buffer_size"":18.0,""max_dist_size"":25.0,""threshold_ratio"":3.793166529,""batch_size"":5.0}",135;170,0.013
iceland_tourism,MicroWatch(idx=2),"{""max_dist_size"":92.0,""batch_size"":5.0,""new_dist_buffer_size"":37.0,""threshold_ratio"":3.658406186}",160,0.019
iceland_tourism,MicroWatch(idx=3),"{""batch_size"":3.0,""new_dist_buffer_size"":33.0,""threshold_ratio"":3.498780655,""max_dist_size"":95.0}",174,0.032
iceland_tourism,MicroWatch(idx=4),"{""threshold_ratio"":2.641971007,""batch_size"":3.0,""max_dist_size"":81.0,""new_dist_buffer_size"":13.0}",138;162,0.050
iceland_tourism,MicroWatch(idx=5),"{""batch_size"":3.0,""threshold_ratio"":3.865322614,""new_dist_buffer_size"":24.0,""max_dist_size"":76.0}",150,0.040
iceland_tourism,MicroWatch(idx=6),"{""new_dist_buffer_size"":11.0,""threshold_ratio"":1.569453357,""batch_size"":5.0,""max_dist_size"":99.0}",125;160;185,0.025
iceland_tourism,BOCPD,"alpha=0.001, beta=0.001, kappa=0.5, mu=0",,1.274
iceland_tourism,CUSUM,"twarmup=170, plimit=0.0014262970885022819",66;127;165,0.004
iceland_tourism,PELT,"penalty=100, jump=1, min_size=1",199,2.721
jfk_passengers,MicroWatch(idx=0),"{""new_dist_buffer_size"":3.0,""threshold_ratio"":0.442342413,""batch_size"":3.0,""max_dist_size"":25.0}",,0.023
jfk_passengers,MicroWatch(idx=1),"{""threshold_ratio"":3.04901229,""new_dist_buffer_size"":35.0,""batch_size"":6.0,""max_dist_size"":85.0}",330,0.036
jfk_passengers,MicroWatch(idx=2),"{""max_dist_size"":15.0,""batch_size"":4.0,""threshold_ratio"":2.736206023,""new_dist_buffer_size"":40.0}",364,0.015
jfk_passengers,MicroWatch(idx=3),"{""new_dist_buffer_size"":45.0,""threshold_ratio"":2.192570456,""max_dist_size"":28.0,""batch_size"":4.0}",340,0.016
jfk_passengers,MicroWatch(idx=4),"{""batch_size"":4.0,""new_dist_buffer_size"":40.0,""threshold_ratio"":3.51548693,""max_dist_size"":51.0}",328,0.030
jfk_passengers,MicroWatch(idx=5),"{""max_dist_size"":34.0,""new_dist_buffer_size"":46.0,""batch_size"":4.0,""threshold_ratio"":2.194242833}",328;460,0.020
jfk_passengers,MicroWatch(idx=6),"{""batch_size"":4.0,""max_dist_size"":51.0,""new_dist_buffer_size"":46.0,""threshold_ratio"":1.058336283}",76;124;328;376;424,0.022
jfk_passengers,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,7.443
jfk_passengers,CUSUM,"twarmup=297, plimit=0.7280877609132768",54;138;331;369;439,0.013
jfk_passengers,PELT,"penalty=20, jump=9, min_size=1",329;468,15.793
lga_passengers,MicroWatch(idx=0),"{""max_dist_size"":31.0,""batch_size"":3.0,""threshold_ratio"":1.671622601,""new_dist_buffer_size"":42.0}",,0.019
